x1536 耐毒の護石Ⅰ
x1670 回避の護石Ⅱ
x1671 回避の護石Ⅲ
x1672 納刀の護石Ⅰ
x1673 納刀の護石Ⅱ
x1674 納刀の護石Ⅲ
x1675 研磨の護石Ⅰ
x1676 研磨の護石Ⅱ
x1677 研磨の護石Ⅲ
x1678 耐爆の護石Ⅰ
x1679 耐爆の護石Ⅱ
x1680 耐爆の護石Ⅲ
x1681 耐龍の護石Ⅰ
x1682 耐龍の護石Ⅱ
x1683 耐龍の護石Ⅲ
x1684 破龍の護石Ⅰ
x1685 破龍の護石Ⅱ
x1686 破龍の護石Ⅲ
x1687 爆破の護石Ⅰ
x1688 爆破の護石Ⅱ
x1689 爆破の護石Ⅲ
x1690 抜刀の護石Ⅰ
x1691 抜刀の護石Ⅱ
x1692 特射の護石Ⅰ
x1693 特射の護石Ⅱ
x1694 強走の護石Ⅰ
x1695 強走の護石Ⅱ
x1696 体術の護石Ⅰ
x1697 体術の護石Ⅱ
x1698 体術の護石Ⅲ
x1699 早気の護石Ⅰ
x1700 早気の護石Ⅱ
x1701 跳躍の護石Ⅰ
x1702 跳躍の護石Ⅱ
x1703 爆師の護石Ⅰ
x1704 爆師の護石Ⅱ
x1705 爆師の護石Ⅲ
x1706 茸好の護石Ⅰ
x1707 茸好の護石Ⅱ
x1708 覚醒の護石Ⅰ
x1709 覚醒の護石Ⅱ
x1710 匠の護石Ⅰ
x1711 匠の護石Ⅱ
x1712 匠の護石Ⅲ
x1713 泥浴びの護石
x1714 仕掛け弾の護石
x1715 狩猟生活の護石
x1716 調達の護石
x1717 採集鉄人の護石
x1718 耐防の護石Ⅰ
x1719 耐防の護石Ⅱ
x1720 耐防の護石Ⅲ
x1721 耳栓の護石Ⅰ
x1722 耳栓の護石Ⅱ
x1723 耳栓の護石Ⅲ
x1724 耐震の護石Ⅰ
x1725 耐震の護石Ⅱ
x1726 痛撃の護石Ⅰ
x1727 痛撃の護石Ⅱ
x1728 集中の護石Ⅰ
x1729 集中の護石Ⅱ
x1730 重撃の護石Ⅰ
x1731 重撃の護石Ⅱ
x1732 逆上の護石Ⅰ
x1733 逆上の護石Ⅱ
x1734 底力の護石Ⅰ
x1735 底力の護石Ⅱ
x1736 整備の護石Ⅰ
x1737 整備の護石Ⅱ
x1738 整備の護石Ⅲ
x1739 全開の護石Ⅰ
x1740 全開の護石Ⅱ
x1741 挑戦の護石Ⅰ
x1742 挑戦の護石Ⅱ
x1743 無傷の護石Ⅰ
x1744 無傷の護石Ⅱ
x1745 渾身の護石Ⅰ
x1746 渾身の護石Ⅱ
x1747 耐衝の護石Ⅰ
x1748 耐衝の護石Ⅱ
x1749 耐瘴の護石Ⅰ
x1750 耐瘴の護石Ⅱ
x1751 耐瘴の護石Ⅲ
x1752 通常弾の護石
x1753 心頭滅却の護石
x1754 騎手の護石
x1755 調査達人の護石
x1756 超心の護石
x1757 昂揚の護石Ⅰ
x1758 昂揚の護石Ⅱ
x1759 貫通弾の護石
x1760 散弾の護石
x1761 毒瓶の護石
x1762 麻痺瓶の護石
x1763 睡眠瓶の護石
x1764 爆破瓶の護石
x1765 風水の護石
x1766 疾風の護石
x1767 減龍の護石
x1768 堅守の護石
x1769 追い風の護石
