x933 レザーベルト
x1028 ガロンコイルα
x1029 ガロンコイルβ
x1030 レウスコイルα
x1031 レウスコイルβ
x1032 リオソウルコイルα
x1033 リオソウルコイルβ
x1034 ディアブロコイルα
x1035 ディアブロコイルβ
x1036 ディアネロコイルα
x1037 ディアネロコイルβ
x1038 ガンキンコイルα
x1039 ガンキンコイルβ
x1040 バゼルコイルα
x1041 バゼルコイルβ
x1042 ダマスクコイルα
x1043 ダマスクコイルβ
x1044 ドーベルコイルα
x1045 ドーベルコイルβ
x1046 デスギアナーベルα
x1047 デスギアナーベルβ
x1048 オーグコイルα
x1049 オーグコイルβ
x1050 カイザーコイルα
x1051 カイザーコイルβ
x1052 クシャナアンダα
x1053 クシャナアンダβ
x1054 ウルズコイルα
x1055 ウルズコイルβ
x1056 キリンフープα
x1057 キリンフープβ
x1058 ゼノラージスパインα
x1059 ゼノラージスパインβ
x1060 ギルドクロスコイルα
x1061 ギルドクロスコイルβ
x1062 シーカーベルトα
x1063 シーカーベルトβ
x1064 バンギスコイルβ
x1065 バンギスコイルα
x1066 マムガイラコイルα
x1067 マムガイラコイルβ
x1068 エンプレスコイルα
x1069 エンプレスコイルβ
x1070 ブロッサムコートα
x1071 ダイバーベルトα
x1072 ハーベストオッハα
x1073 オリオンコートα
x1074 フルドレスコートα
x1075 パピオムアンカα
x1076 パピオムアンカβ
x1077 クインビートアンカα
x1078 クインビートアンカβ
x1079 ウルズコイルγ
x1080 キリンフープγ
x1081 カイザーコイルγ
x1082 クシャナアンダγ
x1083 オーグコイルγ
x1084 ゾラマグナスパインγ
x1085 ゼノラージスパインγ
x1086 エンプレスコイルγ
x1087 マムガイラコイルγ
x1088 蒼星ノ将【腰当て】α
x1089 ダンテベルトα
x1090 ドラケンコイルα
x1091 オリジンコイル
x1092 ガーディアンコイルα
x1093 アーロイウエストα
x1094 アーロイウエストγ
x1095 リュウウエスト
x1096 リュウウエストα
x1097 さくらウエストα
x1098 ゲラルトウエストα
x1099 シリウエストα
x1100 EXボーンコイルα
x1101 EXボーンコイルβ
x1102 EXアロイコイルα
x1103 EXアロイコイルβ
x1104 EXランゴコイルα
x1105 EXランゴコイルβ
x1106 EXタロスコイルα
x1107 EXタロスコイルβ
x1108 EXジャグラスコイルα
x1109 EXジャグラスコイルβ
x1110 EXツィツィコイルα
x1111 EXツィツィコイルβ
x1112 EXギルオスコイルα
x1113 EXギルオスコイルβ
x1114 EXガマルコイルα
x1115 EXガマルコイルβ
x1116 EXクルルコイルα
x1117 EXクルルコイルβ
x1118 EXプケプケコイルα
x1119 EXプケプケコイルβ
x1120 EXプケラグーナコイルα
x1121 EXプケラグーナコイルβ
x1122 EXボロスコイルα
x1123 EXボロスコイルβ
x1124 EXジュラコイルα
x1125 EXジュラコイルβ
x1126 EXブランコイルα
x1127 EXブランコイルβ
x1128 EXカガチコイルα
x1129 EXカガチコイルβ
x1130 EXベニカガチコイルα
x1131 EXベニカガチコイルβ
x1132 EXハイメタコイルα
x1133 EXハイメタコイルβ
x1134 EXバフバロコイルα
x1135 EXバフバロコイルβ
x1136 EXジャナフコイルα
x1137 EXジャナフコイルβ
x1138 EXジャナールコイルα
x1139 EXジャナールコイルβ
x1140 EXレイアコイルα
x1141 EXレイアコイルβ
x1142 EXリオハートコイルα
x1143 EXリオハートコイルβ
x1144 EXウルムーコイルα
x1145 EXウルムーコイルβ
x1146 EXウルムメアコイルα
x1147 EXウルムメアコイルβ
x1148 EXバルキンコイルα
x1149 EXバルキンコイルβ
x1150 EXアーティアコイルα
x1151 EXアーティアコイルβ
x1152 EXアークロックコイルα
x1153 EXアークロックコイルβ
x1154 EXインゴットコイルα
x1155 EXインゴットコイルβ
x1156 EXベリオコイルα
x1157 EXベリオコイルβ
x1158 EXレウスコイルα
x1159 EXレウスコイルβ
x1160 EXリオソウルコイルα
x1161 EXリオソウルコイルβ
x1162 EXディアブロコイルα
x1163 EXディアブロコイルβ
x1164 EXディアネロコイルα
x1165 EXディアネロコイルβ
x1166 EXギエナコイルα
x1167 EXギエナコイルβ
x1168 EXブリーナコイルα
x1169 EXブリーナコイルβ
x1170 EXガロンコイルα
x1171 EXガロンコイルβ
x1172 EXデスガロンコイルα
x1173 EXデスガロンコイルβ
x1174 EXラヴァコイルα
x1175 EXラヴァコイルβ
x1176 EXガンキンコイルα
x1177 EXガンキンコイルβ
x1178 EXナルガコイルα
x1179 EXナルガコイルβ
x1180 EXディノコイルα
x1181 EXディノコイルβ
x1182 EXディノイエロコイルα
x1183 EXディノイエロコイルβ
x1184 EXブラキコイルα
x1185 EXブラキコイルβ
x1186 EXレックスコイルα
x1187 EXレックスコイルβ
x1188 EXレックスロアコイルα
x1189 EXレックスロアコイルβ
x1190 EXクロオビコイルα
x1191 EXクロオビコイルβ
x1192 EXドーベルコイルα
x1193 EXドーベルコイルβ
x1194 EXダマスクコイルα
x1195 EXダマスクコイルβ
x1196 EXプライドコイルα
x1197 EXプライドコイルβ
x1198 EXグリードコイルα
x1199 EXグリードコイルβ
x1200 EXラヴィーナコイルα
x1201 EXラヴィーナコイルβ
x1202 EXヴァルファーコイルα
x1203 EXヴァルファーコイルβ
x1204 EXカイザーコイルα
x1205 EXカイザーコイルβ
x1206 EXクシャナデアンダα
x1207 EXクシャナアンダβ
x1208 EXキリンフープα
x1209 EXキリンフープβ
x1210 EXテンタクルコイルα
x1211 EXテンタクルコイルβ
x1212 EXギルドパレスコイルα
x1213 EXギルドパレスコイルβ
x1214 EXアンガルダコイルα
x1215 EXアンガルダコイルβ
x1216 EXゾラマグナスパインα
x1217 EXゾラマグナスパインβ
x1218 EXガルルガコイルα
x1219 EXガルルガコイルβ
x1220 EXジンオウコイルα
x1221 EXジンオウコイルβ
x1222 EXギルドワークウエストα
x1223 EXギルドワークウエストβ
x1224 EXゴールドルナコイルα
x1225 EXゴールドルナコイルβ
x1226 EXシルバーソルコイルα
x1227 EXシルバーソルコイルβ
x1228 EXエンプレスコイルα
x1229 EXエンプレスコイルβ
x1230 EXゾークコイルα
x1231 EXゾークコイルβ
