#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
パピメルガンバ,2,3,0,0,0,8,22,50,-1,-1,2,0,2,探索者の幸運,1,,,,,,,,,オオツノアゲハ,1,ドラグライト鉱石,2,モンスターの体液,3,麻痺袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,160
タロスグリーヴ,0,3,0,0,0,8,18,46,-1,-1,0,0,2,匠,1,,,,,,,,,カンタロスの羽,2,カンタロスの甲殻,2,ドラグライト鉱石,3,モンスターの体液,2,70,龍脈石のかけら,1,ユニオン鉱石,3,0,170
ジャナフグリーヴ,0,3,0,0,0,5,20,48,3,-3,-1,-1,0,砲術,1,蛮顎竜の力,1,,,,,,,蛮顎竜の鱗,2,蛮顎竜の毛皮,1,火炎袋,1,マカライト鉱石,2,72,龍脈石のかけら,1,ユニオン鉱石,3,0,180
レイアグリーヴ,0,3,0,0,0,5,22,50,2,0,-2,0,-3,体力回復量ＵＰ,1,,,,,,,,,雌火竜の甲殻,3,雌火竜の棘,1,火竜の翼爪,2,雌火竜の逆鱗,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,190
ツィツィグリーヴ,0,3,0,0,0,6,18,46,0,0,-3,-2,0,睡眠耐性,1,,,,,,,,,眩鳥の鱗,2,眩鳥の皮,1,眩鳥の爪,1,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,200
ウルムーグリーヴ,0,3,0,0,0,6,20,48,-3,2,0,1,0,風圧耐性,1,,,,,,,,,浮空竜の鱗,2,浮空竜の毛皮,2,浮空竜の翼膜,1,サンゴの紅骨,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,210
ギルオスグリーヴ,0,3,0,0,0,8,20,48,0,-3,2,0,1,麻痺属性強化,1,,,,,,,,,痺賊竜の皮,2,痺賊竜の牙,2,痺賊竜の鱗,2,竜骨【中】,4,72,龍脈石のかけら,1,ユニオン鉱石,3,0,220
バルキングリーヴ,0,3,0,0,0,8,24,52,0,2,0,-1,-2,裂傷耐性,1,,,,,,,,,骨鎚竜の甲殻,2,骨鎚竜の鱗,2,竜骨塊,2,いびつな狂骨,2,76,龍脈石のかけら,1,ユニオン鉱石,3,0,230
インゴットグリーヴ,0,4,0,0,0,8,28,52,-2,0,3,-1,0,防御,1,,,,,,,,,ドラグライト鉱石,2,上竜骨,1,大地の結晶,3,マカライト鉱石,3,72,龍脈石のかけら,1,ユニオン鉱石,3,0,240
デスギアフェルゼ,0,4,0,0,0,8,32,56,3,2,-2,3,-4,匠,1,,,,,,,,,禍々しい布,1,サンゴの紅骨,3,上竜骨,4,ライトクリスタル,1,76,龍脈石のかけら,1,ユニオン鉱石,3,0,250
ブリゲイドブーツ,0,4,0,0,0,5,28,52,1,0,2,0,2,研究者,1,,,,,,,,,闘技王のコイン,3,クルルコイン,2,レイアコイン,4,ライトクリスタル,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,260
ギエナグリーヴ,0,4,0,0,0,8,30,54,-1,2,-3,3,0,氷耐性,1,風漂竜の恩恵,1,,,,,,,風漂竜の鱗,2,風漂竜の皮,1,風漂竜の爪,1,ドラグライト鉱石,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,270
ガロングリーヴ,0,4,0,0,0,8,30,54,2,2,-2,-3,0,納刀術,1,惨爪竜の力,1,,,,,,,惨爪竜の鱗,2,惨爪竜の硬筋,1,惨爪竜の爪,1,ドラグライト鉱石,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,280
レウスグリーヴ,0,4,0,0,0,8,30,54,3,1,-2,1,-3,ジャンプ鉄人,1,火竜の力,1,,,,,,,火竜の甲殻,3,火竜の鱗,2,火竜の翼爪,2,火竜の尻尾,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,290
ディアブログリーヴ,0,4,0,0,0,8,32,56,3,-2,0,-3,2,耐震,1,角竜の力,1,,,,,,,角竜の背甲,2,角竜の甲殻,2,ねじれた角,1,上竜骨,3,76,龍脈石のかけら,1,ユニオン鉱石,3,0,300
キリンレガース,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,雷耐性,1,幻獣の恩恵,1,,,,,,,幻獣の皮,2,幻獣の雷角,1,ゴム質の甲殻,2,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,310
ブロッサムブーツ,0,3,0,0,0,3,18,46,1,1,4,1,1,回復速度,1,,,,,,,,,開花チケット,1,大地の結晶,2,,,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,320
ダイバーブーツ,0,3,0,0,0,3,22,50,1,4,1,1,1,腹減り耐性,1,,,,,,,,,納涼チケット,1,深海の結晶,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,330
ハーベストライース,0,3,0,0,0,6,26,54,4,1,1,1,1,キノコ大好き,1,,,,,,,,,豊穣チケット,1,頑丈な骨,1,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,340
オリオンブーツ,0,4,0,0,0,8,30,54,1,1,1,4,1,火事場力,1,,,,,,,,,煌めきチケット,1,上竜骨,2,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,350
フルドレスブーツ,0,4,0,0,0,8,34,58,1,1,1,1,4,精霊の加護,1,アステラの祝福,1,,,,,,,感謝チケット,1,上竜骨,1,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,360
パピオムガンバ,1,3,0,0,0,4,22,50,-1,-1,2,0,2,ランナー,1,,,,,,,,,昆虫図鑑【春】,1,オオツノアゲハ,1,ランゴスタの甲殻,1,モンスターの体液,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,370
クインビートガンバ,2,3,0,0,0,4,22,50,-1,-1,2,0,2,ランナー,1,,,,,,,,,昆虫図鑑【春】,1,オオツノアゲハ,1,ランゴスタの甲殻,1,モンスターの体液,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,380
レザーパンツα,0,5,0,0,0,11,32,54,2,0,0,0,0,クライマー,1,,,,,,,,,カブレライト鉱石,2,上質な毛皮,1,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,390
レザーパンツβ,0,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,,カブレライト鉱石,2,上質な毛皮,1,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,400
チェーンパンツα,0,5,0,0,0,11,32,54,0,2,0,0,0,体力回復量ＵＰ,1,,,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,2,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,410
チェーンパンツβ,0,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,2,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,420
ハンターグリーヴα,0,5,0,0,0,11,36,58,2,2,0,0,0,追跡の達人,1,スリンガー装填数ＵＰ,1,,,,,,,ジャグラスの上皮,2,上質な堅骨,3,,,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,430
ハンターグリーヴβ,0,5,1,0,0,11,36,58,2,2,0,0,0,追跡の達人,1,,,,,,,,,ジャグラスの上皮,2,上質な堅骨,3,,,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,440
ボーングリーヴα,0,5,0,0,0,11,36,58,2,0,2,0,2,昆虫標本の達人,2,,,,,,,,,上質な堅骨,2,上竜骨,2,強固な岩骨,3,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,450
ボーングリーヴβ,0,5,1,0,0,11,36,58,2,0,2,0,2,昆虫標本の達人,1,,,,,,,,,上質な堅骨,2,上竜骨,2,強固な岩骨,3,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,460
アロイグリーヴα,0,5,0,0,0,11,36,58,-2,0,-2,-2,0,砥石使用高速化,2,,,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,4,ライトクリスタル,1,マカライト鉱石,5,74,龍脈石のかけら,1,いにしえの龍骨,1,0,470
アロイグリーヴβ,0,5,1,0,0,11,36,58,-2,0,-2,-2,0,砥石使用高速化,1,,,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,4,ライトクリスタル,1,マカライト鉱石,5,74,龍脈石のかけら,1,いにしえの龍骨,1,0,480
オウビートガンバα,1,5,1,0,0,11,42,64,-1,-1,2,0,2,探索者の幸運,1,回避性能,1,,,,,,,オオツノアゲハ,1,カブレライト鉱石,2,モンスターの濃汁,2,強力麻痺袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,490
オウビートガンバβ,1,5,2,1,0,11,42,64,-1,-1,2,0,2,探索者の幸運,1,,,,,,,,,オオツノアゲハ,1,カブレライト鉱石,2,モンスターの濃汁,2,強力麻痺袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,500
パピメルガンバα,2,5,1,0,0,11,42,64,-1,-1,2,0,2,探索者の幸運,1,回避性能,1,,,,,,,オオツノアゲハ,1,カブレライト鉱石,2,モンスターの濃汁,2,強力麻痺袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,510
パピメルガンバβ,2,5,2,1,0,11,42,64,-1,-1,2,0,2,探索者の幸運,1,,,,,,,,,オオツノアゲハ,1,カブレライト鉱石,2,モンスターの濃汁,2,強力麻痺袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,520
ランゴグリーヴα,0,5,0,0,0,11,38,60,-2,1,1,1,2,ハニーハンター,1,麻痺耐性,1,,,,,,,ランゴスタの堅殻,4,ランゴスタの薄羽,2,モンスターの濃汁,3,強力麻痺袋,2,76,龍脈石のかけら,1,いにしえの龍骨,1,0,530
ランゴグリーヴβ,0,5,1,0,0,11,38,60,-2,1,1,1,2,ハニーハンター,1,,,,,,,,,ランゴスタの堅殻,4,ランゴスタの薄羽,2,モンスターの濃汁,3,強力麻痺袋,2,76,龍脈石のかけら,1,いにしえの龍骨,1,0,540
タロスグリーヴα,0,5,0,0,0,11,38,60,-1,-1,0,0,2,匠,1,龍属性攻撃強化,1,,,,,,,カンタロスの堅殻,4,カンタロスの薄羽,2,カンタロスの頭,1,ノヴァクリスタル,1,76,龍脈石のかけら,1,いにしえの龍骨,1,0,550
タロスグリーヴβ,0,5,1,0,0,11,38,60,-1,-1,0,0,2,匠,1,,,,,,,,,カンタロスの堅殻,4,カンタロスの薄羽,2,カンタロスの頭,1,ノヴァクリスタル,1,76,龍脈石のかけら,1,いにしえの龍骨,1,0,560
ガライーブーツα,0,5,0,0,0,11,40,62,0,5,0,0,0,水場・深雪適応,2,水属性攻撃強化,1,,,,,,,咬魚の上皮,4,咬魚の大ヒゲ,2,カブレライト鉱石,3,,,78,龍脈石のかけら,1,いにしえの龍骨,1,0,570
ガライーブーツβ,0,5,1,0,0,11,40,62,0,5,0,0,0,水場・深雪適応,1,水属性攻撃強化,1,,,,,,,咬魚の上皮,4,咬魚の大ヒゲ,2,カブレライト鉱石,3,,,78,龍脈石のかけら,1,いにしえの龍骨,1,0,580
ジャグラスグリーヴα,0,5,0,0,0,11,40,62,-2,2,-1,-1,1,しゃがみ移動速度ＵＰ,1,満足感,1,,,,,,,賊竜の上鱗,4,賊竜の上皮,2,賊竜のたてがみ,2,ジャグラスの上鱗,1,78,龍脈石のかけら,1,いにしえの龍骨,1,0,590
ジャグラスグリーヴβ,0,5,1,0,0,11,40,62,-2,2,-1,-1,1,しゃがみ移動速度ＵＰ,1,,,,,,,,,賊竜の上鱗,4,賊竜の上皮,2,賊竜のたてがみ,2,ジャグラスの上鱗,1,78,龍脈石のかけら,1,いにしえの龍骨,1,0,600
クルルグリーヴα,0,5,0,0,0,11,40,62,0,-3,0,1,0,見切り,1,アイテム使用強化,1,,,,,,,掻鳥の上皮,4,掻鳥の上鱗,6,翼竜の上皮,2,大地の結晶,2,78,龍脈石のかけら,1,いにしえの龍骨,1,0,610
クルルグリーヴβ,0,5,1,0,0,11,40,62,0,-3,0,1,0,見切り,1,,,,,,,,,掻鳥の上皮,4,掻鳥の上鱗,6,翼竜の上皮,2,大地の結晶,2,78,龍脈石のかけら,1,いにしえの龍骨,1,0,620
ツィツィグリーヴα,0,5,0,0,0,11,40,62,0,0,-3,-2,0,睡眠耐性,2,,,,,,,,,眩鳥の上鱗,4,眩鳥の上皮,2,眩鳥の尖爪,2,カブレライト鉱石,6,78,龍脈石のかけら,1,いにしえの龍骨,1,0,630
ツィツィグリーヴβ,0,5,1,0,0,11,40,62,0,0,-3,-2,0,睡眠耐性,1,,,,,,,,,眩鳥の上鱗,4,眩鳥の上皮,2,眩鳥の尖爪,2,カブレライト鉱石,6,78,龍脈石のかけら,1,いにしえの龍骨,1,0,640
ギルオスグリーヴα,0,5,0,0,0,11,40,62,0,-3,2,0,1,麻痺属性強化,2,,,,,,,,,痺賊竜の上皮,2,痺賊竜の鋭牙,4,痺賊竜の上鱗,4,いびつな狂骨,5,78,龍脈石のかけら,1,いにしえの龍骨,1,0,650
ギルオスグリーヴβ,0,5,1,0,0,11,40,62,0,-3,2,0,1,麻痺属性強化,1,,,,,,,,,痺賊竜の上皮,2,痺賊竜の鋭牙,4,痺賊竜の上鱗,4,いびつな狂骨,5,78,龍脈石のかけら,1,いにしえの龍骨,1,0,660
プケプケグリーヴα,0,5,0,0,0,11,42,64,0,3,-3,0,1,植生学,2,環境利用の知識,1,,,,,,,毒妖鳥の堅殻,2,毒妖鳥の大喉袋,2,毒妖鳥の上鱗,4,尖竜骨,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,670
プケプケグリーヴβ,0,5,2,0,0,11,42,64,0,3,-3,0,1,植生学,1,,,,,,,,,毒妖鳥の堅殻,2,毒妖鳥の大喉袋,2,毒妖鳥の上鱗,4,尖竜骨,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,680
ボロスグリーヴα,0,5,0,0,0,11,42,64,-3,-1,3,-1,0,気絶耐性,2,ランナー,1,,,,,,,土砂竜の堅甲,2,土砂竜の堅殻,4,肥沃なドロ,4,尖竜骨,4,80,龍脈石のかけら,1,いにしえの龍骨,1,0,690
ボロスグリーヴβ,0,5,1,1,0,11,42,64,-3,-1,3,-1,0,気絶耐性,1,,,,,,,,,土砂竜の堅甲,2,土砂竜の堅殻,4,肥沃なドロ,4,尖竜骨,4,80,龍脈石のかけら,1,いにしえの龍骨,1,0,700
ジャナフグリーヴα,0,5,0,0,0,11,44,66,3,-3,-1,-1,0,砲術,2,蛮顎竜の闘志,1,,,,,,,蛮顎竜の上鱗,4,蛮顎竜の上毛皮,3,爆炎袋,2,カブレライト鉱石,5,82,龍脈石のかけら,1,いにしえの龍骨,1,0,710
ジャナフグリーヴβ,0,5,1,0,0,11,44,66,3,-3,-1,-1,0,砲術,1,蛮顎竜の闘志,1,,,,,,,蛮顎竜の上鱗,4,蛮顎竜の上毛皮,3,爆炎袋,2,カブレライト鉱石,5,82,龍脈石のかけら,1,いにしえの龍骨,1,0,720
ジュラグリーヴα,0,5,0,0,0,11,44,66,-1,2,-3,0,0,集中,2,,,,,,,,,泥魚竜の堅殻,4,泥魚竜の鋭牙,2,泥魚竜の上ヒレ,2,竜玉,1,82,龍脈石のかけら,1,いにしえの龍骨,1,0,730
ジュラグリーヴβ,0,5,2,0,0,11,44,66,-1,2,-3,0,0,集中,1,,,,,,,,,泥魚竜の堅殻,4,泥魚竜の鋭牙,2,泥魚竜の上ヒレ,2,竜玉,1,82,龍脈石のかけら,1,いにしえの龍骨,1,0,740
カガチグリーヴα,0,5,0,0,0,11,44,66,0,-3,3,0,0,雷耐性,2,体術,1,,,,,,,飛雷竜の上鱗,4,飛雷竜の皮膜,2,電撃袋,1,上質な毛皮,3,82,龍脈石のかけら,1,いにしえの龍骨,1,0,750
カガチグリーヴβ,0,5,1,1,0,11,44,66,0,-3,3,0,0,雷耐性,1,,,,,,,,,飛雷竜の上鱗,4,飛雷竜の皮膜,2,電撃袋,1,上質な毛皮,3,82,龍脈石のかけら,1,いにしえの龍骨,1,0,760
ウルムーグリーヴα,0,5,0,0,0,11,44,66,-3,2,0,1,0,風圧耐性,1,スタミナ急速回復,1,,,,,,,浮空竜の上鱗,4,浮空竜の上毛皮,2,浮空竜の翼,4,竜玉,1,82,龍脈石のかけら,1,いにしえの龍骨,1,0,770
ウルムーグリーヴβ,0,5,1,1,0,11,44,66,-3,2,0,1,0,風圧耐性,1,,,,,,,,,浮空竜の上鱗,4,浮空竜の上毛皮,2,浮空竜の翼,4,竜玉,1,82,龍脈石のかけら,1,いにしえの龍骨,1,0,780
レイアグリーヴα,0,5,0,0,0,11,46,68,2,0,-2,0,-3,体力回復量ＵＰ,2,,,,,,,,,雌火竜の堅殻,6,雌火竜の上棘,3,火竜の翼爪,4,雌火竜の紅玉,1,84,龍脈石のかけら,1,いにしえの龍骨,1,0,790
レイアグリーヴβ,0,5,1,0,0,11,46,68,2,0,-2,0,-3,体力回復量ＵＰ,1,,,,,,,,,雌火竜の堅殻,6,雌火竜の上棘,3,火竜の翼爪,4,雌火竜の紅玉,1,84,龍脈石のかけら,1,いにしえの龍骨,1,0,800
リオハートグリーヴα,0,6,0,0,0,13,52,72,3,0,-3,0,-4,整備,1,風圧耐性,1,桜火竜の奥義,1,,,,,桜火竜の上鱗,4,桜火竜の堅殻,2,堅竜骨,3,シャムオスの上皮,3,84,龍脈石のかけら,1,鳥竜玉,1,0,810
リオハートグリーヴβ,0,6,2,0,0,13,52,72,3,0,-3,0,-4,整備,1,桜火竜の奥義,1,,,,,,,桜火竜の上鱗,4,桜火竜の堅殻,2,堅竜骨,3,シャムオスの上皮,3,84,龍脈石のかけら,1,鳥竜玉,1,0,820
バルキングリーヴα,0,6,0,0,0,11,46,66,0,2,0,-1,-2,裂傷耐性,2,,,,,,,,,骨鎚竜の堅殻,4,骨鎚竜の上鱗,4,骨鎚竜の黒油殻,2,竜骨塊,5,78,龍脈石のかけら,1,鳥竜玉,1,0,830
バルキングリーヴβ,0,6,1,0,0,11,46,66,0,2,0,-1,-2,裂傷耐性,1,,,,,,,,,骨鎚竜の堅殻,4,骨鎚竜の上鱗,4,骨鎚竜の黒油殻,2,竜骨塊,5,78,龍脈石のかけら,1,鳥竜玉,1,0,840
ガマルグリーヴα,0,5,0,0,0,13,48,70,2,0,-3,0,2,砲弾装填数ＵＰ,1,爆破属性強化,1,,,,,,,岩賊竜の上皮,6,岩賊竜の尻尾,2,岩賊竜の尖爪,4,竜玉,1,86,龍脈石のかけら,1,いにしえの龍骨,1,0,850
ガマルグリーヴβ,0,5,1,0,0,13,48,70,2,0,-3,0,2,砲弾装填数ＵＰ,1,,,,,,,,,岩賊竜の上皮,6,岩賊竜の尻尾,2,岩賊竜の尖爪,4,竜玉,1,86,龍脈石のかけら,1,いにしえの龍骨,1,0,860
ゾラマグナフットα,0,6,0,0,0,11,44,64,4,-3,-1,-2,-3,ボマー,2,耳栓,1,熔山龍の奥義,1,,,,,熔山龍の背甲,3,熔山龍の岩殻,3,熔山龍のマグマ,3,熔山龍の宝玉,1,76,龍脈石のかけら,1,鳥竜玉,1,0,870
ゾラマグナフットβ,0,6,2,0,0,11,44,64,4,-3,-1,-2,-3,ボマー,2,熔山龍の奥義,1,,,,,,,熔山龍の背甲,3,熔山龍の岩殻,3,熔山龍のマグマ,3,熔山龍の宝玉,1,76,龍脈石のかけら,1,鳥竜玉,1,0,880
ハイメタグリーヴα,0,6,0,0,0,13,50,70,0,-1,-2,3,0,砲撃手,1,氷耐性,1,,,,,,,ユニオン鉱石,3,カブレライト鉱石,4,龍脈の結晶,2,バルノスの上皮,3,82,龍脈石のかけら,1,鳥竜玉,1,0,890
ハイメタグリーヴβ,0,6,1,0,0,13,50,70,0,-1,-2,3,0,砲撃手,1,,,,,,,,,ユニオン鉱石,3,カブレライト鉱石,4,龍脈の結晶,2,バルノスの上皮,3,82,龍脈石のかけら,1,鳥竜玉,1,0,900
インゴットグリーヴα,0,6,0,0,0,13,50,70,-2,0,3,-1,0,防御,2,風圧耐性,1,,,,,,,ユニオン鉱石,1,堅竜骨,2,ドラグライト鉱石,4,ガストドンの堅殻,2,82,龍脈石のかけら,1,鳥竜玉,1,0,910
インゴットグリーヴβ,0,6,2,0,0,13,50,70,-2,0,3,-1,0,防御,2,,,,,,,,,ユニオン鉱石,1,堅竜骨,2,ドラグライト鉱石,4,ガストドンの堅殻,2,82,龍脈石のかけら,1,鳥竜玉,1,0,920
ブリゲイドブーツα,0,6,1,0,0,13,52,72,1,0,2,0,2,研究者,1,地質学,1,,,,,,,狩猟王のコイン,3,ガマルコイン,3,レウスコイン,3,堅竜骨,2,84,龍脈石のかけら,1,鳥竜玉,1,0,930
ブリゲイドブーツβ,0,6,3,0,0,13,52,72,1,0,2,0,2,研究者,1,,,,,,,,,狩猟王のコイン,3,ガマルコイン,3,レウスコイン,3,堅竜骨,2,84,龍脈石のかけら,1,鳥竜玉,1,0,940
ラヴァグリーヴα,0,6,1,0,0,13,56,76,3,-3,1,-2,2,散弾・剛射強化,1,火属性攻撃強化,1,,,,,,,溶岩竜の堅殻,6,溶岩竜の鋭牙,2,溶岩竜の上ヒレ,4,獄炎石,1,88,龍脈石のかけら,1,鳥竜玉,1,0,950
ラヴァグリーヴβ,0,6,2,0,0,13,56,76,3,-3,1,-2,2,散弾・剛射強化,1,,,,,,,,,溶岩竜の堅殻,6,溶岩竜の鋭牙,2,溶岩竜の上ヒレ,4,獄炎石,1,88,龍脈石のかけら,1,鳥竜玉,1,0,960
ギエナグリーヴα,0,6,0,0,0,13,54,74,-1,2,-3,3,0,氷耐性,2,抜刀術【技】,1,風漂竜の恩寵,1,,,,,風漂竜の上鱗,4,風漂竜の上皮,2,風漂竜の翼,2,眩鳥の上皮,2,86,龍脈石のかけら,1,鳥竜玉,1,0,970
ギエナグリーヴβ,0,6,3,0,0,13,54,74,-1,2,-3,3,0,氷耐性,2,風漂竜の恩寵,1,,,,,,,風漂竜の上鱗,4,風漂竜の上皮,2,風漂竜の翼,2,眩鳥の上皮,2,86,龍脈石のかけら,1,鳥竜玉,1,0,980
ガロングリーヴα,0,6,0,0,0,13,54,74,2,2,-2,-3,0,納刀術,1,見切り,1,惨爪竜の奥義,1,,,,,惨爪竜の上鱗,4,惨爪竜の大硬筋,2,惨爪竜の鋭牙,2,堅竜骨,6,86,龍脈石のかけら,1,鳥竜玉,1,0,990
ガロングリーヴβ,0,6,1,0,0,13,54,74,2,2,-2,-3,0,納刀術,1,惨爪竜の奥義,1,,,,,,,惨爪竜の上鱗,4,惨爪竜の大硬筋,2,惨爪竜の鋭牙,2,堅竜骨,6,86,龍脈石のかけら,1,鳥竜玉,1,0,1000
レウスグリーヴα,0,6,0,0,0,13,54,74,3,1,-2,1,-3,ジャンプ鉄人,1,弱点特効,1,火竜の奥義,1,,,,,火竜の堅殻,6,火竜の上鱗,4,爆炎袋,2,火竜の逆鱗,1,86,龍脈石のかけら,1,鳥竜玉,1,0,1010
レウスグリーヴβ,0,6,3,0,0,13,54,74,3,1,-2,1,-3,ジャンプ鉄人,1,火竜の奥義,1,,,,,,,火竜の堅殻,6,火竜の上鱗,4,爆炎袋,2,火竜の逆鱗,1,86,龍脈石のかけら,1,鳥竜玉,1,0,1020
リオソウルグリーヴα,0,7,0,0,0,13,56,68,3,2,2,-3,-4,集中,1,クライマー,1,火竜の奥義,1,,,,,蒼火竜の堅殻,6,蒼火竜の上鱗,4,蒼火竜の尻尾,2,火竜の逆鱗,1,82,龍脈石,1,竜玉,1,0,1030
