#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
プケプケコイルβ,0,5,1,0,0,11,42,64,0,3,-3,0,1,毒属性強化,1,,,,,,,,,毒妖鳥の堅殻,4,毒妖鳥の翼,2,毒妖鳥の大喉袋,2,鳥竜玉,1,80,龍脈石のかけら,1,いにしえの龍骨,1,0,650
ボロスコイルα,0,5,0,0,0,11,42,64,-3,-1,3,-1,0,泥耐性,1,ガード性能,1,,,,,,,土砂竜の堅殻,4,土砂竜の堅甲,3,上竜骨,4,,,80,龍脈石のかけら,1,いにしえの龍骨,1,0,660
ボロスコイルβ,0,5,2,0,0,11,42,64,-3,-1,3,-1,0,泥耐性,1,,,,,,,,,土砂竜の堅殻,4,土砂竜の堅甲,3,上竜骨,4,,,80,龍脈石のかけら,1,いにしえの龍骨,1,0,670
ジャナフコイルα,0,5,0,0,0,11,44,66,3,-3,-1,-1,0,火耐性,2,砲術,1,蛮顎竜の闘志,1,,,,,蛮顎竜の上鱗,4,蛮顎竜の上毛皮,3,蛮顎竜の鋭牙,3,鋭利な爪,4,82,龍脈石のかけら,1,いにしえの龍骨,1,0,680
ジャナフコイルβ,0,5,2,0,0,11,44,66,3,-3,-1,-1,0,火耐性,2,蛮顎竜の闘志,1,,,,,,,蛮顎竜の上鱗,4,蛮顎竜の上毛皮,3,蛮顎竜の鋭牙,3,鋭利な爪,4,82,龍脈石のかけら,1,いにしえの龍骨,1,0,690
ジュラコイルα,0,5,0,0,0,11,44,66,-1,2,-3,0,0,氷耐性,2,,,,,,,,,泥魚竜の上鱗,4,泥魚竜の堅殻,2,大水袋,2,,,82,龍脈石のかけら,1,いにしえの龍骨,1,0,700
ジュラコイルβ,0,5,1,0,0,11,44,66,-1,2,-3,0,0,氷耐性,1,,,,,,,,,泥魚竜の上鱗,4,泥魚竜の堅殻,2,大水袋,2,,,82,龍脈石のかけら,1,いにしえの龍骨,1,0,710
カガチコイルα,0,5,0,0,0,11,44,66,0,-3,3,0,0,雷属性攻撃強化,2,雷耐性,1,,,,,,,飛雷竜の上鱗,4,飛雷竜の上毛皮,3,電撃袋,1,翼竜の上皮,3,82,龍脈石のかけら,1,いにしえの龍骨,1,0,720
カガチコイルβ,0,5,1,1,0,11,44,66,0,-3,3,0,0,雷属性攻撃強化,1,,,,,,,,,飛雷竜の上鱗,4,飛雷竜の上毛皮,3,電撃袋,1,翼竜の上皮,3,82,龍脈石のかけら,1,いにしえの龍骨,1,0,730
ウルムーコイルα,0,5,0,0,0,11,44,66,-3,2,0,1,0,精霊の加護,2,,,,,,,,,浮空竜の上毛皮,4,浮空竜の上鱗,2,ゴム質の堅殻,3,サンゴの紅骨,5,82,龍脈石のかけら,1,いにしえの龍骨,1,0,740
ウルムーコイルβ,0,5,1,0,0,11,44,66,-3,2,0,1,0,精霊の加護,1,,,,,,,,,浮空竜の上毛皮,4,浮空竜の上鱗,2,ゴム質の堅殻,3,サンゴの紅骨,5,82,龍脈石のかけら,1,いにしえの龍骨,1,0,750
レイアコイルα,0,5,0,0,0,11,46,68,2,0,-2,0,-3,毒耐性,2,体力増強,1,,,,,,,雌火竜の上鱗,4,雌火竜の堅殻,2,爆炎袋,2,モンスターの濃汁,2,84,龍脈石のかけら,1,いにしえの龍骨,1,0,760
レイアコイルβ,0,5,1,0,0,11,46,68,2,0,-2,0,-3,毒耐性,1,体力増強,1,,,,,,,雌火竜の上鱗,4,雌火竜の堅殻,2,爆炎袋,2,モンスターの濃汁,2,84,龍脈石のかけら,1,いにしえの龍骨,1,0,770
リオハートコイルα,0,6,0,0,0,13,52,72,3,0,-3,0,-4,匠,1,毒耐性,1,桜火竜の奥義,1,,,,,桜火竜の堅殻,4,桜火竜の上鱗,3,堅竜骨,4,雌火竜の逆鱗,1,84,龍脈石のかけら,1,鳥竜玉,1,0,780
リオハートコイルβ,0,6,1,0,0,13,52,72,3,0,-3,0,-4,匠,1,桜火竜の奥義,1,,,,,,,桜火竜の堅殻,4,桜火竜の上鱗,3,堅竜骨,4,雌火竜の逆鱗,1,84,龍脈石のかけら,1,鳥竜玉,1,0,790
バルキンコイルα,0,6,0,0,0,11,46,66,0,2,0,-1,-2,ガード性能,2,,,,,,,,,骨鎚竜の上鱗,4,骨鎚竜の堅殻,3,昏睡袋,3,竜骨塊,5,78,龍脈石のかけら,1,鳥竜玉,1,0,800
バルキンコイルβ,0,6,2,0,0,11,46,66,0,2,0,-1,-2,ガード性能,1,,,,,,,,,骨鎚竜の上鱗,4,骨鎚竜の堅殻,3,昏睡袋,3,竜骨塊,5,78,龍脈石のかけら,1,鳥竜玉,1,0,810
ガマルコイルα,0,5,0,0,0,13,48,70,2,0,-3,0,2,砲術,2,爆破やられ耐性,1,,,,,,,岩賊竜の上鱗,4,岩賊竜の上皮,2,岩賊竜の顎,1,ガストドンの堅殻,5,86,龍脈石のかけら,1,いにしえの龍骨,1,0,820
ガマルコイルβ,0,5,1,0,0,13,48,70,2,0,-3,0,2,砲術,2,,,,,,,,,岩賊竜の上鱗,4,岩賊竜の上皮,2,岩賊竜の顎,1,ガストドンの堅殻,5,86,龍脈石のかけら,1,いにしえの龍骨,1,0,830
ゾラマグナスパインα,0,6,0,0,0,11,44,64,4,-3,-1,-2,-3,不屈,1,耐震,1,熔山龍の奥義,1,,,,,熔山龍の岩殻,8,熔山龍の熱鱗,1,熔山龍の背甲,3,熔山龍のマグマ,2,76,龍脈石のかけら,1,鳥竜玉,1,0,840
ゾラマグナスパインβ,0,6,2,0,0,11,44,64,4,-3,-1,-2,-3,不屈,1,熔山龍の奥義,1,,,,,,,熔山龍の岩殻,8,熔山龍の熱鱗,1,熔山龍の背甲,3,熔山龍のマグマ,2,76,龍脈石のかけら,1,鳥竜玉,1,0,850
ハイメタコイルα,0,6,0,0,0,13,50,70,0,-1,-2,3,0,砲弾装填数ＵＰ,1,防御,1,,,,,,,ユニオン鉱石,3,カブレライト鉱石,4,龍脈の結晶,2,バルノスの尖爪,2,82,龍脈石のかけら,1,鳥竜玉,1,0,860
ハイメタコイルβ,0,6,1,0,0,13,50,70,0,-1,-2,3,0,砲弾装填数ＵＰ,1,,,,,,,,,ユニオン鉱石,3,カブレライト鉱石,4,龍脈の結晶,2,バルノスの尖爪,2,82,龍脈石のかけら,1,鳥竜玉,1,0,870
インゴットコイルα,0,6,0,0,0,13,50,70,-2,0,3,-1,0,風圧耐性,2,,,,,,,,,ユニオン鉱石,1,堅竜骨,3,ドラグライト鉱石,4,ガストドンの堅殻,3,82,龍脈石のかけら,1,鳥竜玉,1,0,880
インゴットコイルβ,0,6,3,0,0,13,50,70,-2,0,3,-1,0,風圧耐性,1,,,,,,,,,ユニオン鉱石,1,堅竜骨,3,ドラグライト鉱石,4,ガストドンの堅殻,3,82,龍脈石のかけら,1,鳥竜玉,1,0,890
ブリゲイドコイルα,0,6,0,0,0,13,52,72,1,0,2,0,2,地質学,2,回復速度,1,,,,,,,狩猟王のコイン,2,ボロスコイン,4,ガマルコイン,3,堅竜骨,2,84,龍脈石のかけら,1,鳥竜玉,1,0,900
ブリゲイドコイルβ,0,6,1,0,0,13,52,72,1,0,2,0,2,地質学,2,,,,,,,,,狩猟王のコイン,2,ボロスコイン,4,ガマルコイン,3,堅竜骨,2,84,龍脈石のかけら,1,鳥竜玉,1,0,910
ラヴァコイルα,0,6,0,0,0,13,56,76,3,-3,1,-2,2,納刀術,2,体力回復量ＵＰ,1,,,,,,,溶岩竜の上鱗,4,溶岩竜の堅殻,2,溶岩竜の鋭牙,2,咬魚の大ヒゲ,4,88,龍脈石のかけら,1,鳥竜玉,1,0,920
ラヴァコイルβ,0,6,1,0,0,13,56,76,3,-3,1,-2,2,納刀術,2,,,,,,,,,溶岩竜の上鱗,4,溶岩竜の堅殻,2,溶岩竜の鋭牙,2,咬魚の大ヒゲ,4,88,龍脈石のかけら,1,鳥竜玉,1,0,930
ギエナコイルα,0,6,0,0,0,13,54,74,-1,2,-3,3,0,氷属性攻撃強化,2,風圧耐性,1,風漂竜の恩寵,1,,,,,風漂竜の上皮,4,風漂竜の上鱗,4,凍結袋,2,風漂竜の逆鱗,1,86,龍脈石のかけら,1,鳥竜玉,1,0,940
ギエナコイルβ,0,6,2,0,0,13,54,74,-1,2,-3,3,0,氷属性攻撃強化,2,風漂竜の恩寵,1,,,,,,,風漂竜の上皮,4,風漂竜の上鱗,4,凍結袋,2,風漂竜の逆鱗,1,86,龍脈石のかけら,1,鳥竜玉,1,0,950
ガロンコイルα,0,6,0,0,0,13,54,74,2,2,-2,-3,0,見切り,2,砥石使用高速化,1,惨爪竜の奥義,1,,,,,惨爪竜の大硬筋,6,惨爪竜の尖爪,4,惨爪竜の鋭牙,2,惨爪竜の宝玉,1,86,龍脈石のかけら,1,鳥竜玉,1,0,960
ガロンコイルβ,0,6,2,0,0,13,54,74,2,2,-2,-3,0,見切り,2,惨爪竜の奥義,1,,,,,,,惨爪竜の大硬筋,6,惨爪竜の尖爪,4,惨爪竜の鋭牙,2,惨爪竜の宝玉,1,86,龍脈石のかけら,1,鳥竜玉,1,0,970
レウスコイルα,0,6,0,0,0,13,54,74,3,1,-2,1,-3,火属性攻撃強化,2,集中,1,火竜の奥義,1,,,,,火竜の上鱗,4,火竜の堅殻,4,火竜の翼,2,火竜の尻尾,2,86,龍脈石のかけら,1,鳥竜玉,1,0,980
レウスコイルβ,0,6,2,0,0,13,54,74,3,1,-2,1,-3,火属性攻撃強化,2,火竜の奥義,1,,,,,,,火竜の上鱗,4,火竜の堅殻,4,火竜の翼,2,火竜の尻尾,2,86,龍脈石のかけら,1,鳥竜玉,1,0,990
リオソウルコイルα,0,7,0,0,0,13,56,68,3,2,2,-3,-4,風圧耐性,2,貫通弾・竜の一矢強化,1,火竜の奥義,1,,,,,蒼火竜の上鱗,4,蒼火竜の堅殻,4,火竜の延髄,1,堅竜骨,6,82,龍脈石,1,竜玉,1,0,1000
リオソウルコイルβ,0,7,3,0,0,13,56,68,3,2,2,-3,-4,風圧耐性,2,火竜の奥義,1,,,,,,,蒼火竜の上鱗,4,蒼火竜の堅殻,4,火竜の延髄,1,堅竜骨,6,82,龍脈石,1,竜玉,1,0,1010
ディアブロコイルα,0,6,0,0,0,13,54,74,3,-2,0,-3,2,ランナー,2,抜刀術【技】,1,角竜の奥義,1,,,,,角竜の堅殻,4,角竜の堅甲,3,角竜の牙,2,ケストドンの頭殻,3,86,龍脈石のかけら,1,鳥竜玉,1,0,1020
ディアブロコイルβ,0,6,2,0,0,13,54,74,3,-2,0,-3,2,ランナー,2,角竜の奥義,1,,,,,,,角竜の堅殻,4,角竜の堅甲,3,角竜の牙,2,ケストドンの頭殻,3,86,龍脈石のかけら,1,鳥竜玉,1,0,1030
ディアネロコイルα,0,7,0,0,0,13,56,68,2,-3,0,-4,2,逆恨み,1,破壊王,1,角竜の奥義,1,,,,,黒角竜の堅殻,4,黒角竜の堅甲,3,角竜の尾甲,2,ガストドンの尖角,3,82,龍脈石,1,竜玉,1,0,1040
